success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         30        172      0.027         10
      1          0               0         41        202      0.038         10
      1          0               0         37        203      0.035         10
      1          0               0         25        137      0.023         10
      1          0               0         40        228      0.036         10
      1          0               0         47        279      0.047         10
      1          0               0         53        297      0.049         10
      1          0               0         31        164      0.029         10
      1          0               0         46        238      0.042         10
      1          0               0         38        241      0.035         10
      1          0               0         42        230      0.040         10
      1          0               0         44        240      0.040         10
      1          0               0         28        160      0.027         10
      1          0               0         33        198      0.037         10
      1          0               0         39        242      0.037         10
      1          0               0         33        197      0.032         10
      1          0               0         36        178      0.045         10
      1          0               0         48        212      0.043         10
      1          0               0         37        235      0.039         10
      1          0               0         36        226      0.035         10
      1          0               0         46        247      0.050         10
      1          0               0         27        169      0.026         10
      1          0               0         42        195      0.039         10
      1          0               0         28        173      0.028         10
      1          0               0         41        252      0.039         10
      1          0               0         42        211      0.039         10
      1          0               0         41        190      0.037         10
      1          0               0         46        223      0.069         10
      1          0               0         32        216      0.029         10
      1          0               0         47        269      0.075         10
      1          0               0         39        258      0.038         10
      1          0               0         41        229      0.048         10
      1          0               0         41        189      0.039         10
      1          0               0         36        208      0.050         10
      1          0               0         45        259      0.044         10
      1          0               0         33        161      0.030         10
      1          0               0         39        231      0.037         10
      1          0               0         29        189      0.027         10
      1          0               0         30        193      0.028         10
      1          0               0         46        237      0.041         10
      1          0               0         38        218      0.036         10
      1          0               0         58        226      0.052         10
      1          0               0         34        195      0.032         10
      1          0               0         41        193      0.044         10
      1          0               0         33        185      0.031         10
      1          0               0         46        257      0.042         10
      1          0               0         41        248      0.067         10
      1          0               0         41        207      0.065         10
      1          0               0         46        184      0.045         10
      1          0               0         34        191      0.031         10
      1          0               0         35        244      0.032         10
      1          0               0         45        221      0.041         10
      1          0               0         41        239      0.037         10
      1          0               0         34        225      0.033         10
      1          0               0         30        205      0.028         10
      1          0               0         31        169      0.029         10
      1          0               0         39        270      0.037         10
      1          0               0         49        213      0.044         10
      1          0               0         29        175      0.026         10
      1          0               0         45        274      0.041         10
      1          0               0         52        263      0.047         10
      1          0               0         44        257      0.040         10
      1          0               0         37        183      0.033         10
      1          0               0         39        210      0.036         10
      1          0               0         37        221      0.034         10
      1          0               0         45        302      0.046         10
      1          0               0         40        280      0.039         10
      1          0               0         43        227      0.040         10
      1          0               0         35        207      0.031         10
      1          0               0         32        197      0.029         10
      1          0               0         35        223      0.033         10
      1          0               0         49        307      0.046         10
      1          0               0         34        198      0.031         10
      1          0               0         35        236      0.033         10
      1          0               0         41        209      0.037         10
      1          0               0         47        242      0.043         10
      1          0               0         35        125      0.031         10
      1          0               0         40        213      0.036         10
      1          0               0         43        236      0.042         10
      1          0               0         38        189      0.039         10
      1          0               0         36        206      0.039         10
      1          0               0         35        221      0.035         10
      1          0               0         42        256      0.043         10
      1          0               0         47        220      0.082         10
      1          0               0         41        182      0.074         10
      1          0               0         48        265      0.048         10
      1          0               0         41        229      0.043         10
      1          0               0         41        239      0.041         10
      1          0               0         48        275      0.048         10
      1          0               0         33        228      0.034         10
      1          0               0         41        258      0.081         10
      1          0               0         44        224      0.042         10
      1          0               0         32        222      0.034         10
      1          0               0         32        218      0.032         10
      1          0               0         36        215      0.037         10
