number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    267                  55                   0.0                  100                  267.0                55.0                
10                   0                    0                    213                  42                   0.0                  100                  213.0                42.0                
10                   0                    0                    444                  61                   0.0                  100                  444.0                61.0                
10                   0                    0                    290                  53                   0.0                  100                  280.0                53.0                
10                   0                    0                    360                  68                   0.0                  100                  360.0                68.0                
10                   0                    0                    366                  53                   0.0                  100                  365.0                53.0                
10                   0                    0                    256                  64                   0.0                  100                  256.0                64.0                
10                   0                    0                    309                  48                   0.0                  100                  309.0                48.0                
10                   0                    0                    258                  50                   0.0                  100                  258.0                50.0                
10                   0                    0                    397                  56                   0.0                  100                  397.0                56.0                
10                   0                    0                    601                  83                   0.0                  100                  601.0                83.0                
10                   0                    0                    214                  46                   0.0                  100                  214.0                46.0                
10                   0                    0                    170                  34                   0.0                  100                  167.0                34.0                
10                   0                    0                    198                  35                   0.0                  100                  198.0                35.0                
10                   0                    0                    261                  55                   0.0                  100                  260.0                55.0                
10                   0                    0                    303                  55                   0.0                  100                  303.0                55.0                
10                   0                    0                    353                  81                   0.0                  100                  353.0                81.0                
10                   0                    0                    212                  57                   0.0                  100                  212.0                57.0                
10                   0                    0                    340                  56                   0.0                  100                  337.0                56.0                
10                   0                    0                    351                  58                   0.0                  100                  350.0                58.0                
10                   0                    0                    479                  63                   0.0                  100                  474.0                63.0                
10                   0                    0                    193                  43                   0.0                  100                  170.0                43.0                
10                   0                    0                    230                  37                   0.0                  100                  230.0                37.0                
10                   0                    0                    253                  42                   0.0                  100                  253.0                42.0                
10                   0                    0                    328                  65                   0.0                  100                  327.0                65.0                
10                   0                    0                    296                  69                   0.0                  100                  296.0                69.0                
10                   0                    0                    204                  43                   0.0                  100                  204.0                43.0                
10                   0                    0                    206                  52                   0.0                  100                  206.0                52.0                
10                   0                    0                    456                  76                   0.0                  100                  456.0                76.0                
10                   0                    0                    247                  37                   0.0                  100                  247.0                37.0                
10                   0                    0                    372                  65                   0.0                  100                  372.0                65.0                
10                   0                    0                    247                  52                   0.0                  100                  247.0                52.0                
10                   0                    0                    331                  52                   0.0                  100                  331.0                52.0                
10                   0                    0                    310                  51                   0.0                  100                  310.0                51.0                
10                   0                    0                    216                  41                   0.0                  100                  216.0                41.0                
10                   0                    0                    343                  66                   0.0                  100                  343.0                66.0                
10                   0                    0                    208                  42                   0.0                  100                  208.0                42.0                
10                   0                    0                    230                  38                   0.0                  100                  230.0                38.0                
10                   0                    0                    235                  45                   0.0                  100                  235.0                45.0                
10                   0                    0                    516                  74                   0.0                  100                  515.0                74.0                
10                   0                    0                    453                  68                   0.0                  100                  453.0                68.0                
10                   0                    0                    278                  38                   0.0                  100                  278.0                38.0                
10                   0                    0                    267                  55                   0.0                  100                  267.0                55.0                
10                   0                    0                    277                  51                   0.0                  100                  277.0                51.0                
10                   0                    0                    397                  60                   0.0                  100                  397.0                60.0                
10                   0                    0                    185                  55                   0.0                  100                  185.0                55.0                
10                   0                    0                    298                  51                   0.0                  100                  298.0                51.0                
10                   0                    0                    343                  58                   0.0                  100                  343.0                58.0                
10                   0                    0                    207                  37                   0.0                  100                  207.0                37.0                
10                   0                    0                    332                  72                   0.0                  100                  332.0                72.0                
10                   0                    0                    200                  31                   0.0                  100                  200.0                31.0                
10                   0                    0                    304                  37                   0.0                  100                  304.0                37.0                
10                   0                    0                    303                  60                   0.0                  100                  303.0                60.0                
10                   0                    0                    345                  59                   0.0                  100                  345.0                59.0                
10                   0                    0                    239                  46                   0.0                  100                  239.0                46.0                
10                   0                    0                    272                  58                   0.0                  100                  272.0                58.0                
10                   0                    0                    192                  30                   0.0                  100                  192.0                30.0                
10                   0                    0                    299                  67                   0.0                  100                  299.0                67.0                
10                   0                    0                    465                  62                   0.0                  100                  465.0                62.0                
10                   0                    0                    226                  36                   0.0                  100                  184.0                36.0                
10                   0                    0                    494                  76                   0.0                  100                  494.0                76.0                
10                   0                    0                    323                  55                   0.0                  100                  323.0                55.0                
10                   0                    0                    308                  58                   0.0                  100                  308.0                58.0                
10                   0                    0                    431                  72                   0.0                  100                  430.0                72.0                
10                   0                    0                    137                  29                   0.0                  100                  137.0                29.0                
10                   0                    0                    305                  58                   0.0                  100                  305.0                58.0                
10                   0                    0                    342                  58                   0.0                  100                  342.0                58.0                
10                   0                    0                    319                  65                   0.0                  100                  319.0                65.0                
10                   0                    0                    247                  55                   0.0                  100                  247.0                55.0                
10                   0                    0                    221                  48                   0.0                  100                  221.0                48.0                
10                   0                    0                    326                  57                   0.0                  100                  309.0                57.0                
10                   0                    0                    239                  49                   0.0                  100                  236.0                49.0                
10                   0                    0                    431                  66                   0.0                  100                  414.0                66.0                
10                   0                    0                    478                  76                   0.0                  100                  478.0                76.0                
10                   0                    0                    293                  48                   0.0                  100                  293.0                48.0                
10                   0                    0                    370                  64                   0.0                  100                  369.0                64.0                
10                   0                    0                    301                  50                   0.0                  100                  301.0                50.0                
10                   0                    0                    409                  68                   0.0                  100                  409.0                68.0                
10                   0                    0                    356                  62                   0.0                  100                  356.0                62.0                
10                   0                    0                    282                  62                   0.0                  100                  282.0                62.0                
10                   0                    0                    241                  47                   0.0                  100                  241.0                47.0                
10                   0                    0                    221                  44                   0.0                  100                  221.0                44.0                
10                   0                    0                    229                  44                   0.0                  100                  229.0                44.0                
10                   0                    0                    189                  31                   0.0                  100                  189.0                31.0                
10                   0                    0                    256                  57                   0.0                  100                  256.0                57.0                
10                   0                    0                    316                  58                   0.0                  100                  316.0                58.0                
10                   0                    0                    317                  42                   0.0                  100                  317.0                42.0                
10                   0                    0                    444                  68                   0.0                  100                  444.0                68.0                
10                   0                    0                    344                  54                   0.0                  100                  344.0                54.0                
10                   0                    0                    214                  41                   0.0                  100                  214.0                41.0                
10                   0                    0                    267                  52                   0.0                  100                  267.0                52.0                
10                   0                    0                    575                  75                   0.0                  100                  575.0                75.0                
10                   0                    0                    255                  53                   0.0                  100                  255.0                53.0                
10                   0                    0                    464                  61                   0.0                  100                  464.0                61.0                
10                   0                    0                    311                  46                   0.0                  100                  292.0                46.0                
10                   0                    0                    303                  50                   0.0                  100                  303.0                50.0                
10                   0                    0                    322                  47                   0.0                  100                  307.0                47.0                
10                   0                    0                    198                  38                   0.0                  100                  198.0                38.0                
10                   0                    0                    259                  49                   0.0                  100                  259.0                49.0                
10                   0                    0                    208                  44                   0.0                  100                  208.0                44.0                
10                   0                    0                    275                  42                   0.0                  100                  275.0                42.0                
10                   0                    0                    227                  55                   0.0                  100                  226.0                55.0                
10                   0                    0                    358                  61                   0.0                  100                  358.0                61.0                
10                   0                    0                    244                  38                   0.0                  100                  244.0                38.0                
10                   0                    0                    422                  61                   0.0                  100                  422.0                61.0                
10                   0                    0                    299                  56                   0.0                  100                  299.0                56.0                
10                   0                    0                    273                  40                   0.0                  100                  273.0                40.0                
10                   0                    0                    193                  41                   0.0                  100                  183.0                41.0                
10                   0                    0                    218                  34                   0.0                  100                  218.0                34.0                
10                   0                    0                    308                  58                   0.0                  100                  307.0                57.0                
10                   0                    0                    345                  55                   0.0                  100                  331.0                55.0                
10                   0                    0                    397                  62                   0.0                  100                  397.0                62.0                
10                   0                    0                    347                  58                   0.0                  100                  347.0                58.0                
10                   0                    0                    315                  52                   0.0                  100                  315.0                52.0                
10                   0                    0                    391                  66                   0.0                  100                  391.0                66.0                
10                   0                    0                    309                  49                   0.0                  100                  309.0                49.0                
10                   0                    0                    370                  60                   0.0                  100                  370.0                60.0                
10                   0                    0                    282                  59                   0.0                  100                  282.0                59.0                
10                   0                    0                    181                  40                   0.0                  100                  181.0                40.0                
10                   0                    0                    218                  41                   0.0                  100                  218.0                41.0                
10                   0                    0                    235                  39                   0.0                  100                  229.0                39.0                
10                   0                    0                    409                  59                   0.0                  100                  409.0                59.0                
10                   0                    0                    175                  38                   0.0                  100                  175.0                38.0                
10                   0                    0                    386                  58                   0.0                  100                  386.0                58.0                
10                   0                    0                    347                  59                   0.0                  100                  347.0                59.0                
10                   0                    0                    275                  57                   0.0                  100                  275.0                57.0                
10                   0                    0                    203                  36                   0.0                  100                  203.0                36.0                
10                   0                    0                    255                  44                   0.0                  100                  255.0                44.0                
10                   0                    0                    356                  55                   0.0                  100                  356.0                55.0                
10                   0                    0                    400                  64                   0.0                  100                  400.0                64.0                
10                   0                    0                    201                  37                   0.0                  100                  201.0                37.0                
10                   0                    0                    488                  80                   0.0                  100                  488.0                80.0                
10                   0                    0                    253                  44                   0.0                  100                  253.0                44.0                
10                   0                    0                    397                  59                   0.0                  100                  397.0                59.0                
10                   0                    0                    362                  63                   0.0                  100                  320.0                63.0                
10                   0                    0                    322                  52                   0.0                  100                  311.0                52.0                
10                   0                    0                    276                  69                   0.0                  100                  248.0                69.0                
10                   0                    0                    303                  48                   0.0                  100                  303.0                48.0                
10                   0                    0                    228                  42                   0.0                  100                  228.0                42.0                
10                   0                    0                    198                  45                   0.0                  100                  198.0                45.0                
10                   0                    0                    231                  55                   0.0                  100                  231.0                55.0                
10                   0                    0                    306                  48                   0.0                  100                  306.0                48.0                
10                   0                    0                    175                  39                   0.0                  100                  175.0                39.0                
10                   0                    0                    151                  42                   0.0                  100                  151.0                42.0                
10                   0                    0                    237                  47                   0.0                  100                  237.0                47.0                
10                   0                    0                    197                  36                   0.0                  100                  197.0                36.0                
10                   0                    0                    295                  38                   0.0                  100                  295.0                38.0                
10                   0                    0                    300                  49                   0.0                  100                  300.0                49.0                
10                   0                    0                    451                  60                   0.0                  100                  451.0                60.0                
10                   0                    0                    455                  60                   0.0                  100                  455.0                60.0                
10                   0                    0                    159                  44                   0.0                  100                  159.0                44.0                
10                   0                    0                    331                  49                   0.0                  100                  331.0                49.0                
10                   0                    0                    235                  64                   0.0                  100                  234.0                63.0                
10                   0                    0                    492                  77                   0.0                  100                  492.0                77.0                
10                   0                    0                    293                  66                   0.0                  100                  293.0                66.0                
10                   0                    0                    290                  54                   0.0                  100                  290.0                54.0                
10                   0                    0                    315                  51                   0.0                  100                  315.0                51.0                
10                   0                    0                    308                  50                   0.0                  100                  308.0                50.0                
10                   0                    0                    392                  72                   0.0                  100                  374.0                72.0                
10                   0                    0                    246                  42                   0.0                  100                  246.0                42.0                
10                   0                    0                    223                  44                   0.0                  100                  222.0                44.0                
10                   0                    0                    160                  29                   0.0                  100                  160.0                29.0                
10                   0                    0                    222                  33                   0.0                  100                  222.0                33.0                
10                   0                    0                    261                  52                   0.0                  100                  261.0                52.0                
10                   0                    0                    261                  55                   0.0                  100                  261.0                55.0                
10                   0                    0                    391                  55                   0.0                  100                  391.0                55.0                
10                   0                    0                    392                  55                   0.0                  100                  392.0                55.0                
10                   0                    0                    362                  57                   0.0                  100                  362.0                57.0                
10                   0                    0                    284                  50                   0.0                  100                  284.0                50.0                
10                   0                    0                    327                  56                   0.0                  100                  327.0                56.0                
10                   0                    0                    316                  57                   0.0                  100                  316.0                57.0                
10                   0                    0                    293                  64                   0.0                  100                  293.0                64.0                
10                   0                    0                    331                  55                   0.0                  100                  331.0                55.0                
10                   0                    0                    283                  61                   0.0                  100                  283.0                61.0                
10                   0                    0                    364                  55                   0.0                  100                  364.0                55.0                
