success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0         75        115      0.021          2
      1          0               0        103        144      0.029          2
      1          0               0        155        199      0.044          2
      1          0               0        136        173      0.038          2
      1          0               0        120        207      0.033          2
      1          0               0         75        129      0.028          3
      1          0               0        198        253      0.073          3
      1          0               0        150        319      0.058          3
      1          0               0         93        222      0.035          3
      1          0               0        118        312      0.044          3
      1          0               0         75        193      0.038          4
      1          0               0        230        374      0.109          4
      1          0               0        136        269      0.064          4
      1          0               0        120        339      0.055          4
      1          0               0        139        451      0.064          4
      1          0               0        142        303      0.081          5
      1          0               0         65        123      0.038          5
      1          0               0        136        315      0.076          5
      1          0               0        159        535      0.090          5
      1          0               0        140        348      0.079          5
