success  collision  collision_obst   makespan   flowtime    runtime     number
      1          0               0        109        555      0.193         10
      1          0               0         94        552      0.083         10
      1          0               0        103        696      0.087         10
      1          0               0         80        517      0.066         10
      1          0               0         99        702      0.083         10
      1          0               0         93        623      0.079         10
      1          0               0        103        539      0.084         10
      1          0               0         63        369      0.053         10
      1          0               0         91        572      0.076         10
      1          0               0         84        507      0.071         10
      1          0               0        117        648      0.096         10
      1          0               0        112        641      0.094         10
      1          0               0        104        654      0.087         10
      1          0               0         87        436      0.072         10
      1          0               0         95        525      0.079         10
      1          0               0         98        594      0.084         10
      1          0               0         97        515      0.080         10
      1          0               0        106        474      0.088         10
      1          0               0        108        527      0.102         10
      1          0               0        111        660      0.095         10
      1          0               0        112        648      0.094         10
      1          0               0        108        516      0.090         10
      1          0               0        114        436      0.107         10
      1          0               0         75        425      0.063         10
      1          0               0         93        611      0.079         10
      1          0               0        103        546      0.085         10
      1          0               0        104        596      0.087         10
      1          0               0         93        447      0.078         10
      1          0               0        116        681      0.101         10
      1          0               0         86        449      0.071         10
      1          0               0        101        567      0.083         10
      1          0               0        101        568      0.086         10
      1          0               0         90        527      0.076         10
      1          0               0        101        499      0.084         10
      1          0               0        108        654      0.097         10
      1          0               0        107        661      0.089         10
      1          0               0         95        580      0.079         10
      1          0               0        101        571      0.085         10
      1          0               0        125        713      0.104         10
      1          0               0         91        669      0.076         10
      1          0               0         93        613      0.077         10
      1          0               0         99        461      0.098         10
      1          0               0         86        554      0.073         10
      1          0               0        107        605      0.090         10
      1          0               0        103        613      0.084         10
      1          0               0        108        579      0.091         10
      1          0               0         77        440      0.066         10
      1          0               0         87        462      0.073         10
      1          0               0         85        554      0.072         10
      1          0               0        117        761      0.098         10
      1          0               0        135        503      0.110         10
      1          0               0         98        534      0.086         10
      1          0               0         89        568      0.073         10
      1          0               0         94        629      0.079         10
      1          0               0        104        701      0.088         10
      1          0               0        129        627      0.110         10
      1          0               0         80        473      0.069         10
      1          0               0        116        614      0.096         10
      1          0               0        103        564      0.087         10
      1          0               0        106        481      0.090         10
      1          0               0        114        600      0.096         10
      1          0               0         89        530      0.077         10
      1          0               0         95        470      0.092         10
      1          0               0        117        654      0.098         10
      1          0               0         94        585      0.078         10
      1          0               0         85        580      0.072         10
      1          0               0        100        633      0.083         10
      1          0               0        113        629      0.094         10
      1          0               0         87        531      0.071         10
      1          0               0         98        564      0.081         10
      1          0               0         88        567      0.075         10
      1          0               0         84        418      0.071         10
      1          0               0         97        694      0.083         10
      1          0               0        113        682      0.097         10
      1          0               0        117        575      0.097         10
      1          0               0         97        552      0.082         10
      1          0               0         97        553      0.095         10
      1          0               0         99        625      0.084         10
      1          0               0         97        542      0.081         10
      1          0               0         92        521      0.076         10
      1          0               0        108        546      0.088         10
      1          0               0         88        512      0.073         10
      1          0               0         83        580      0.070         10
      1          0               0         76        475      0.065         10
      1          0               0         87        655      0.075         10
      1          0               0        110        544      0.090         10
      1          0               0         96        475      0.078         10
      1          0               0        117        756      0.097         10
      1          0               0         79        510      0.066         10
      1          0               0         84        524      0.070         10
      1          0               0        107        561      0.089         10
      1          0               0        101        761      0.090         10
      1          0               0         76        480      0.064         10
      1          0               0        105        612      0.102         10
      1          0               0        113        613      0.102         10
      1          0               0        102        491      0.085         10
      1          0               0         94        612      0.080         10
      1          0               0         94        536      0.079         10
      1          0               0        116        649      0.098         10
      1          0               0         85        623      0.075         10
      1          0               0         93        501      0.079         10
      1          0               0         98        621      0.083         10
